DTG,Track name, x (m), y (m), z (m), course (degs), speed (m/s), dem course (Degs), dem speed (m/s), dem depth (m), fuel, activity
100112 135140,SENSOR,-5216.08 ,6686137.86 ,-0.00 ,354.30 ,1.29 ,354.30 ,1.29 ,-0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 135230,SENSOR,-5228.93 ,6686201.84 ,-0.00 ,354.30 ,1.29 ,354.30 ,1.29 ,-0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 135320,SENSOR,-5241.78 ,6686265.83 ,-0.00 ,354.30 ,1.29 ,354.30 ,1.29 ,-0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 135410,SENSOR,-5254.63 ,6686329.82 ,-0.00 ,354.30 ,1.29 ,354.30 ,1.29 ,-0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 135500,SENSOR,-5267.48 ,6686393.80 ,-0.00 ,354.30 ,1.29 ,354.30 ,1.29 ,-0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 135550,SENSOR,-5280.33 ,6686457.79 ,-0.00 ,354.30 ,1.29 ,354.30 ,1.29 ,-0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 135640,SENSOR,-5293.18 ,6686521.78 ,-0.00 ,354.30 ,1.29 ,354.30 ,1.29 ,-0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 135730,SENSOR,-5306.03 ,6686585.77 ,-0.00 ,354.30 ,1.29 ,354.30 ,1.29 ,-0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 135820,SENSOR,-5318.88 ,6686649.75 ,-0.00 ,354.30 ,1.29 ,354.30 ,1.29 ,-0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 135910,SENSOR,-5331.73 ,6686713.74 ,-0.00 ,354.30 ,1.29 ,354.30 ,1.29 ,-0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 140000,SENSOR,-5344.58 ,6686777.73 ,-0.00 ,354.30 ,1.29 ,354.30 ,1.29 ,-0.00 ,100.00 ,sensor route:leg two:Heading for target location
